epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0396,1.86444,3.34615,1.48737,0.77026,0.66634,0.72982,0.24672,2.41763,1.29552,1.75749,0.00032963,0.00032963,0.0673667
2,94.2374,1.81569,1.35803,1.4649,0.7338,0.61138,0.69509,0.2436,2.47618,1.45676,1.67379,0.0006564,0.0006564,0.0343601
3,133.911,1.91898,1.40602,1.52522,0.58546,0.41511,0.51414,0.23505,2.48327,2.1951,1.62966,0.00097657,0.00097657,0.00134694
4,173.575,1.90571,1.49186,1.51516,0.75791,0.39941,0.58739,0.31706,2.23962,2.01003,1.51299,0.0009703,0.0009703,0.0009703
5,214.563,1.8071,1.50151,1.4546,0.74871,0.7105,0.7511,0.3127,2.15907,1.53331,1.48481,0.0009604,0.0009604,0.0009604
6,254.274,1.71686,1.57904,1.45496,0.89591,0.47301,0.68787,0.24018,2.50155,2.02877,1.74006,0.0009505,0.0009505,0.0009505
7,293.711,1.79599,1.37329,1.43202,0.73682,0.58685,0.68848,0.30932,2.1594,1.81269,1.50917,0.0009406,0.0009406,0.0009406
8,333.243,1.62687,1.3934,1.37674,0.25096,0.56028,0.20861,0.10455,1.93035,3.35883,1.38967,0.0009307,0.0009307,0.0009307
9,372.892,1.69733,1.33809,1.3932,0.80135,0.68989,0.77649,0.34348,2.06006,1.33287,1.4448,0.0009208,0.0009208,0.0009208
10,412.805,1.71745,1.33527,1.39603,0.76758,0.7105,0.79055,0.45519,1.79042,1.19622,1.33041,0.0009109,0.0009109,0.0009109
11,452.631,1.71963,1.3122,1.3611,0.81871,0.69578,0.79407,0.40125,1.89224,1.161,1.34969,0.000901,0.000901,0.000901
12,492.143,1.59018,1.26596,1.36233,0.72664,0.6104,0.68098,0.17549,2.71293,2.23162,1.82754,0.0008911,0.0008911,0.0008911
